0.86	0.08	3.98
0.87	0.08	4.03
0.88	0.08	4.08
0.89	0.08	4.12
0.90	0.08	4.17
0.91	0.08	4.22
0.92	0.09	4.27
0.93	0.09	4.35
0.94	0.09	4.42
0.95	0.09	4.50
0.96	0.09	4.59
0.97	0.09	4.67
0.98	0.09	4.74
0.99	0.09	4.81
1.00	0.09	4.89
1.01	0.09	4.95
1.02	0.09	5.00
1.03	0.09	5.06
1.04	0.10	5.13
1.05	0.10	5.18
1.06	0.10	5.21
1.07	0.10	5.26
1.08	0.10	5.30
1.09	0.10	5.35
1.10	0.10	5.39
1.11	0.10	5.39
1.12	0.10	5.42
1.13	0.10	5.45
1.14	0.10	5.46
1.15	0.10	5.52
1.16	0.11	5.63
1.17	0.11	5.73
1.18	0.11	5.80
1.19	0.11	5.91
1.20	0.11	5.98
1.21	0.11	6.03
1.22	0.11	6.10
1.23	0.11	6.18
1.24	0.11	6.25
1.25	0.11	6.31
1.26	0.11	6.41
1.27	0.11	6.48
1.28	0.12	6.51
1.29	0.12	6.54
1.30	0.12	6.59
1.31	0.12	6.64
1.32	0.12	6.67
1.33	0.12	6.73
1.34	0.12	6.78
1.35	0.12	6.85
1.36	0.12	6.96
1.37	0.12	7.02
1.38	0.12	7.06
1.39	0.12	7.13
1.40	0.13	7.19
1.41	0.13	7.24
1.42	0.13	7.27
1.43	0.13	7.33
1.44	0.13	7.40
1.45	0.13	7.48
1.46	0.13	7.59
1.47	0.13	7.68
1.48	0.13	7.74
1.49	0.13	7.81
1.50	0.13	7.86
1.51	0.13	7.93
1.52	0.14	7.98
1.53	0.14	8.04
1.54	0.14	8.12
1.55	0.14	8.19
1.56	0.14	8.24
1.57	0.14	8.29
1.58	0.14	8.34
1.59	0.14	8.39
1.60	0.14	8.44
1.61	0.14	8.51
1.62	0.14	8.58
1.63	0.14	8.62
1.64	0.15	8.65
1.65	0.15	8.68
1.66	0.15	8.75
1.67	0.15	8.80
1.68	0.15	8.83
1.69	0.15	8.88
1.70	0.15	8.93
1.71	0.15	9.00
1.72	0.15	9.05
1.73	0.15	9.10
1.74	0.15	9.17
1.75	0.15	9.23
1.76	0.16	9.25
1.77	0.16	9.27
1.78	0.16	9.31
1.79	0.16	9.36
1.80	0.16	9.42
1.81	0.16	9.46
1.82	0.16	9.48
1.83	0.16	9.50
1.84	0.16	9.53
1.85	0.16	9.55
1.86	0.16	9.57
1.87	0.16	9.64
1.88	0.17	9.73
1.89	0.17	9.85
1.90	0.17	9.98
1.91	0.17	10.06
1.92	0.17	10.02
1.93	0.17	9.90
1.94	0.17	9.80
1.95	0.17	9.82
1.96	0.17	10.01
1.97	0.17	10.19
1.98	0.17	10.35
1.99	0.17	10.36
2.00	0.18	10.23
2.01	0.18	10.18
2.02	0.18	10.28
2.03	0.18	10.44
2.04	0.18	10.60
2.05	0.18	10.66
2.06	0.18	10.54
2.07	0.18	10.41
2.08	0.18	10.46
2.09	0.18	10.66
2.10	0.18	10.84
2.11	0.18	10.85
2.12	0.19	10.74
2.13	0.19	10.79
2.14	0.19	10.94
2.15	0.19	11.02
2.16	0.19	11.00
2.17	0.19	10.99
2.18	0.19	11.10
2.19	0.19	11.23
2.20	0.19	11.24
2.21	0.19	11.21
2.22	0.19	11.28
2.23	0.19	11.35
2.24	0.20	11.40
2.25	0.20	11.45
2.26	0.20	11.50
2.27	0.20	11.57
2.28	0.20	11.60
2.29	0.20	11.64
2.30	0.20	11.66
2.31	0.20	11.68
2.32	0.20	11.67
2.33	0.20	11.68
2.34	0.20	11.72
2.35	0.20	11.74
2.36	0.21	11.76
2.37	0.21	11.75
2.38	0.21	11.77
2.39	0.21	11.79
2.40	0.21	11.77
2.41	0.21	11.78
2.42	0.21	11.76
2.43	0.21	11.77
2.44	0.21	11.82
2.45	0.21	11.82
2.46	0.21	11.83
2.47	0.21	11.83
2.48	0.22	11.83
2.49	0.22	11.86
2.50	0.22	11.85
2.51	0.22	11.85
2.52	0.22	11.89
2.53	0.22	11.88
2.54	0.22	11.85
2.55	0.22	11.88
2.56	0.22	11.88
2.57	0.22	11.87
2.58	0.22	11.90
2.59	0.22	11.89
2.60	0.23	11.88
2.61	0.23	11.90
2.62	0.23	11.91
2.63	0.23	11.90
2.64	0.23	11.91
2.65	0.23	11.91
2.66	0.23	11.93
2.67	0.23	11.96
2.68	0.23	11.95
2.69	0.23	11.92
2.70	0.23	11.95
2.71	0.23	11.95
2.72	0.24	11.94
2.73	0.24	11.95
2.74	0.24	11.94
2.75	0.24	11.94
2.76	0.24	11.95
2.77	0.24	11.96
2.78	0.24	11.93
2.79	0.24	11.94
2.80	0.24	11.96
2.81	0.24	11.96
2.82	0.24	11.96
2.83	0.24	11.97
2.84	0.25	11.98
2.85	0.25	11.96
2.86	0.25	11.97
2.87	0.25	11.97
2.88	0.25	11.97
2.89	0.25	12.00
2.90	0.25	11.98
2.91	0.25	11.96
2.92	0.25	11.99
2.93	0.25	11.99
2.94	0.25	11.98
2.95	0.25	11.98
2.96	0.26	11.97
2.97	0.26	12.00
2.98	0.26	12.03
2.99	0.26	12.06
3.00	0.26	12.18
3.01	0.26	12.32
3.02	0.26	12.45
3.03	0.26	12.57
3.04	0.26	12.67
3.05	0.26	12.77
3.06	0.26	12.81
3.07	0.26	12.83
3.08	0.27	12.86
3.09	0.27	12.90
3.10	0.27	12.93
3.11	0.27	13.01
3.12	0.27	13.08
3.13	0.27	13.12
3.14	0.27	13.15
3.15	0.27	13.18
3.16	0.27	13.17
3.17	0.27	13.16
3.18	0.27	13.18
3.19	0.27	13.19
3.20	0.28	13.25
3.21	0.28	13.27
3.22	0.28	13.27
3.23	0.28	13.26
3.24	0.28	13.26
3.25	0.28	13.30
3.26	0.28	13.28
3.27	0.28	13.28
3.28	0.28	13.32
3.29	0.28	13.30
3.30	0.28	13.28
3.31	0.28	13.28
3.32	0.29	13.32
3.33	0.29	13.35
3.34	0.29	13.35
3.35	0.29	13.36
3.36	0.29	13.33
3.37	0.29	13.35
3.38	0.29	13.36
3.39	0.29	13.33
3.40	0.29	13.35
3.41	0.29	13.35
3.42	0.29	13.31
3.43	0.29	13.33
3.44	0.30	13.35
3.45	0.30	13.36
3.46	0.30	13.35
3.47	0.30	13.36
3.48	0.30	13.36
3.49	0.30	13.36
3.50	0.30	13.38
3.51	0.30	13.37
3.52	0.30	13.36
3.53	0.30	13.35
3.54	0.30	13.35
3.55	0.30	13.35
3.56	0.31	13.38
3.57	0.31	13.39
3.58	0.31	13.36
3.59	0.31	13.38
3.60	0.31	13.37
3.61	0.31	13.36
3.62	0.31	13.38
3.63	0.31	13.39
3.64	0.31	13.38
3.65	0.31	13.38
3.66	0.31	13.36
3.67	0.31	13.35
3.68	0.32	13.36
3.69	0.32	13.36
3.70	0.32	13.35
3.71	0.32	13.38
3.72	0.32	13.37
3.73	0.32	13.36
3.74	0.32	13.36
3.75	0.32	13.36
3.76	0.32	13.36
3.77	0.32	13.35
3.78	0.32	13.33
3.79	0.32	13.31
3.80	0.33	13.34
3.81	0.33	13.34
3.82	0.33	13.34
3.83	0.33	13.35
3.84	0.33	13.34
3.85	0.33	13.32
3.86	0.33	13.34
3.87	0.33	13.35
3.88	0.33	13.33
3.89	0.33	13.35
3.90	0.33	13.33
3.91	0.33	13.28
3.92	0.34	13.32
3.93	0.34	13.32
3.94	0.34	13.30
3.95	0.34	13.31
3.96	0.34	13.30
3.97	0.34	13.31
3.98	0.34	13.32
3.99	0.34	13.31
4.00	0.34	13.31
4.01	0.34	13.33
4.02	0.34	13.31
4.03	0.34	13.26
4.04	0.35	13.25
4.05	0.35	13.27
4.06	0.35	13.27
4.07	0.35	13.25
4.08	0.35	13.28
4.09	0.35	13.33
4.10	0.35	13.29
4.11	0.35	13.28
4.12	0.35	13.28
4.13	0.35	13.25
4.14	0.35	13.28
4.15	0.35	13.25
4.16	0.36	13.24
4.17	0.36	13.23
4.18	0.36	13.20
4.19	0.36	13.23
4.20	0.36	13.20
4.21	0.36	13.25
4.22	0.36	13.25
4.23	0.36	13.20
4.24	0.36	13.28
4.25	0.36	13.25
4.26	0.36	13.26
4.27	0.36	13.29
4.28	0.37	13.29
4.29	0.37	13.31
4.30	0.37	13.25
4.31	0.37	13.25
4.32	0.37	13.22
4.33	0.37	13.23
4.34	0.37	13.26
4.35	0.37	13.22
4.36	0.37	13.26
4.37	0.37	13.24
4.38	0.37	13.25
4.39	0.37	13.29
4.40	0.38	13.22
4.41	0.38	13.25
4.42	0.38	13.26
4.43	0.38	13.24
4.44	0.38	13.26
4.45	0.38	13.23
4.46	0.38	13.25
4.47	0.38	13.27
4.48	0.38	13.24
4.49	0.38	13.26
4.50	0.38	13.24
4.51	0.38	13.25
4.52	0.39	13.26
4.53	0.39	13.25
4.54	0.39	13.25
4.55	0.39	13.20
4.56	0.39	13.23
4.57	0.39	13.23
4.58	0.39	13.19
4.59	0.39	13.23
4.60	0.39	13.21
4.61	0.39	13.23
4.62	0.39	13.24
4.63	0.39	13.20
4.64	0.40	13.23
4.65	0.40	13.19
4.66	0.40	13.22
4.67	0.40	13.23
4.68	0.40	13.17
4.69	0.40	13.19
4.70	0.40	13.16
4.71	0.40	13.18
4.72	0.40	13.20
4.73	0.40	13.19
4.74	0.40	13.23
4.75	0.40	13.18
4.76	0.41	13.20
4.77	0.41	13.26
4.78	0.41	13.18
4.79	0.41	13.19
4.80	0.41	13.19
4.81	0.41	13.17
4.82	0.41	13.22
4.83	0.41	13.20
4.84	0.41	13.19
4.85	0.41	13.21
4.86	0.41	13.21
4.87	0.41	13.22
4.88	0.42	13.22
4.89	0.42	13.21
4.90	0.42	13.20
4.91	0.42	13.18
4.92	0.42	13.20
4.93	0.42	13.17
4.94	0.42	13.17
4.95	0.42	13.17
4.96	0.42	13.11
4.97	0.42	13.14
4.98	0.42	13.15
4.99	0.42	13.14
5.00	0.43	13.17
5.01	0.43	13.18
5.02	0.43	13.18
5.03	0.43	13.16
5.04	0.43	13.17
5.05	0.43	13.16
5.06	0.43	13.11
5.07	0.43	13.17
5.08	0.43	13.12
5.09	0.43	13.10
5.10	0.43	13.15
5.11	0.43	13.10
5.12	0.44	13.13
5.13	0.44	13.14
5.14	0.44	13.16
5.15	0.44	13.19
5.16	0.44	13.13
5.17	0.44	13.17
5.18	0.44	13.15
5.19	0.44	13.10
5.20	0.44	13.15
5.21	0.44	13.10
5.22	0.44	13.15
5.23	0.44	13.15
5.24	0.45	13.10
5.25	0.45	13.19
5.26	0.45	13.16
5.27	0.45	13.16
5.28	0.45	13.19
5.29	0.45	13.16
5.30	0.45	13.19
5.31	0.45	13.15
5.32	0.45	13.16
5.33	0.45	13.14
5.34	0.45	13.09
5.35	0.45	13.14
5.36	0.46	13.10
5.37	0.46	13.10
5.38	0.46	13.13
5.39	0.46	13.09
5.40	0.46	13.15
5.41	0.46	13.13
5.42	0.46	13.11
5.43	0.46	13.12
5.44	0.46	13.10
5.45	0.46	13.13
5.46	0.46	13.08
5.47	0.46	13.06
5.48	0.47	13.08
5.49	0.47	13.04
5.50	0.47	13.10
5.51	0.47	13.09
5.52	0.47	13.07
5.53	0.47	13.15
5.54	0.47	13.10
5.55	0.47	13.10
5.56	0.47	13.11
5.57	0.47	13.11
5.58	0.47	13.14
5.59	0.47	13.07
5.60	0.48	13.10
5.61	0.48	13.12
5.62	0.48	13.08
5.63	0.48	13.12
5.64	0.48	13.10
5.65	0.48	13.12
5.66	0.48	13.12
5.67	0.48	13.08
5.68	0.48	13.13
5.69	0.48	13.12
5.70	0.48	13.08
5.71	0.48	13.10
5.72	0.49	13.08
5.73	0.49	13.07
5.74	0.49	13.08
5.75	0.49	13.09
5.76	0.49	13.13
5.77	0.49	13.13
5.78	0.49	13.13
5.79	0.49	13.14
5.80	0.49	13.14
5.81	0.49	13.15
5.82	0.49	13.12
5.83	0.49	13.11
5.84	0.50	13.13
5.85	0.50	13.13
5.86	0.50	13.15
5.87	0.50	13.16
5.88	0.50	13.17
5.89	0.50	13.20
5.90	0.50	13.21
5.91	0.50	13.22
5.92	0.50	13.23
5.93	0.50	13.25
5.94	0.50	13.23
5.95	0.50	13.21
5.96	0.51	13.27
5.97	0.51	13.26
5.98	0.51	13.22
5.99	0.51	13.23
6.00	0.51	13.24
6.01	0.51	13.29
6.02	0.51	13.29
6.03	0.51	13.29
6.04	0.51	13.32
6.05	0.51	13.30
6.06	0.51	13.31
6.07	0.51	13.33
6.08	0.52	13.30
6.09	0.52	13.30
6.10	0.52	13.29
6.11	0.52	13.27
6.12	0.52	13.30
6.13	0.52	13.31
6.14	0.52	13.33
6.15	0.52	13.33
6.16	0.52	13.32
6.17	0.52	13.36
6.18	0.52	13.33
6.19	0.52	13.31
6.20	0.53	13.34
6.21	0.53	13.34
6.22	0.53	13.33
6.23	0.53	13.29
6.24	0.53	13.28
6.25	0.53	13.31
6.26	0.53	13.31
6.27	0.53	13.32
6.28	0.53	13.34
6.29	0.53	13.36
6.30	0.53	13.37
6.31	0.53	13.35
6.32	0.54	13.35
6.33	0.54	13.32
6.34	0.54	13.32
6.35	0.54	13.35
6.36	0.54	13.29
6.37	0.54	13.26
6.38	0.54	13.28
6.39	0.54	13.29
6.40	0.54	13.30
6.41	0.54	13.28
6.42	0.54	13.30
6.43	0.54	13.32
6.44	0.55	13.31
6.45	0.55	13.33
6.46	0.55	13.32
6.47	0.55	13.32
6.48	0.55	13.33
6.49	0.55	13.28
6.50	0.55	13.31
6.51	0.55	13.30
6.52	0.55	13.26
6.53	0.55	13.32
6.54	0.55	13.32
6.55	0.55	13.32
6.56	0.56	13.34
6.57	0.56	13.31
6.58	0.56	13.32
6.59	0.56	13.31
6.60	0.56	13.32
6.61	0.56	13.32
6.62	0.56	13.29
6.63	0.56	13.31
6.64	0.56	13.32
6.65	0.56	13.30
6.66	0.56	13.35
6.67	0.56	13.37
6.68	0.57	13.35
6.69	0.57	13.38
6.70	0.57	13.35
6.71	0.57	13.33
6.72	0.57	13.35
6.73	0.57	13.35
6.74	0.57	13.31
6.75	0.57	13.34
6.76	0.57	13.35
6.77	0.57	13.31
6.78	0.57	13.37
6.79	0.57	13.38
